CODICE,CODICE_SIF,PROVINCIA,CODICE_FOG,CODICE_SSG,COMUNE,DATA_INIZIO,DATA_FINE,X,Y,lat,lon,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,INFO,ORIGINE,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,FALDA
PO012026NU3021,,VA,,,BUSTO ARSIZIO,2001-05-01 00:00:00,2021-03-01,486383.0,5048270.0,45.5878385047091,8.825434770924014,201.672,204.682,102.0,2,42,95,INDUSTRIALE,POZZO ATTREZZATO CON PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30'-via Marco Polo,PTUA2022-OLONA,,,,210.5,,SUPERF.
PO0120750R2020,,VA,,,GERENZANO,2001-01-01 00:00:00,2021-04-01,498243.0,5052530.0,45.62631377148765,8.977460464647569,220.926,220.626,62.0,1,33.5,59,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO012090NU2009,,VA,,,LONATE POZZOLO,2001-02-01 00:00:00,2021-04-01,477623.0,5050127.0,45.60432632285084,8.713050565367158,208.446,207.946,82.6,1,55,74,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022,,,,,,
PO0121180U0005,,VA,,,SAMARATE,2001-08-01 00:00:00,2021-03-01,481042.0,5052887.0,45.62927043532758,8.756785997346258,223.767,226.067,80.0,2,50,72,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,Gestore spegne pozzo al massimo per 30',PTUA2022,,,,,,
PO0121300RZ001,,VA,,,UBOLDO,2005-11-01 00:00:00,2021-04-01,497814.0,5049212.0,45.596447373390106,8.971971952273773,203.65,204.2,45.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0151810U0001,0151810001,MI,,,RESCALDINA,1996-01-01 00:00:00,2018-12-01,496110.0,5051398.0,45.61611603135312,8.950106488910535,222.44,222.54,81.7,2,51.7,73.7,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"via Melzi-Comune I-via Melzi Comune, 1",PTUA2022-PTUA2003-OLONA,180.25,,,180.25,,1.0
PO015219NU0009,,MI,,,TREZZANO ROSA,2015-05-01 00:00:00,2018-12-01,537519.0517,5047771.168,45.58246952641665,9.480935506816804,168.999,170.379,45.0,1,34,40.5,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",PTUA2022,,,,,,
PO0152210U0001,0152210001,MI,,,TREZZO SULL'ADDA,1996-01-01 00:00:00,2019-04-01,540511.0,5051067.0,45.6119661346521,9.519559768178949,150.393,150.393,32.98,1,17,32,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-via Visconti",PTUA2022-PTUA2003,141.68,,,,,1.0
PO108023NU0003,0151000003,MB,,,DESIO,1996-01-01 00:00:00,2021-03-01,516261.0,5051920.0,45.62063500742705,9.208581900085925,199.167,199.167,78.0,3,42,65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,via Torricelli,PTUA2022-PTUA2003,146.19,,,,,1.0
PO1080310U0001,0151390001,MB,,,MEZZAGO,1996-01-01 00:00:00,2021-03-01,534712.0,5052931.0,45.629057420293165,9.445321958810915,220.664,220.664,75.2,1,54,74.65,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,via Unione,PTUA2022-PTUA2003,177.99,,,,,2.0
