CODICE,CODICE_SIF,CODICE_PTUA2003,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE,lat,lon,z_PTUA2003,z_CAP,INFO_PTUA2003,FALDA,ORIGINE,INDIRIZZO
PO0152060U0004,0152060004,,MI,SENAGO,01/01/2006,510294.0,5047238.0,169.78,169.78,104.0,2,41.29,64.11,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",45.57860664614248,9.1319438897114,169.78,,v. Adda,2,PTUA2003,
PO015041NR0075,,,MI,BUSTO GAROLFO,01/05/2014,491337.0,5042014.0,171.64,172.01,30.0,1,15,30,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,,45.531607490202425,8.889054061307203,,,,,,
PO015051NR0012,,,MI,CARUGATE,01/05/2014,526092.0,5045211.0,0.0,153.0,40.0,2,22,37,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,SI,,45.55994854161797,9.334324909887304,,,,,,
PO015060NU0070,,,MI,CASSINA DE' PECCHI,01/05/2014,528555.0,5041375.0,134.13,134.13,43.0,n.d.,n.d.,n.d.,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.5253244282808,9.3656595767229,,,,,,
PO015062NR0071,,,MI,CASTANO PRIMO,01/05/2014,479252.0,5043806.0,170.69,170.64,35.0,1,20,35,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.54748207756073,8.73420820654395,,,,,,
PO0151080U0002,0151080002,,MI,GORGONZOLA,01/01/2006,532049.0,5042247.0,0.0,134.37,90.0,1,33.05,46.6,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",45.53302119623268,9.410457803668589,121.42,,v. Manzoni,,PTUA2003,
PO015194NU0017,,,MI,SAN GIORGIO SU LEGNANO,01/05/2014,492931.0,5045894.0,191.6,191.65,50.0,1,28,50,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.56654955411028,8.90941210511973,,,,,,
PO0152490U0002,0152490020,,MI,VANZAGHELLO,01/01/2005,482332.0,5046719.0,191.913,191.913,60.0,1,54,58,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",45.57378689030802,8.773558840213552,191.5,,C.La Fogna piez,,PTUA2003,
PO108033NU0243,,,MB,MONZA,01/03/2014,520727.0,5045937.0,163.584,163.584,50.0,1,22.5,49.5,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,,45.566663724453065,9.265613128977533,,,,,,
PO1080520U0016,,,MB,CAPONAGO,01/03/2015,528637.8837,5045729.304,155.237,157.507,42.0,1,40.5,42,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.56451359285678,9.366975836497913,,,,,,
PO015019NR0001,0150190001,,MI,BERNATE TICINO,01/03/2013,486506.0,5037842.0,151.01,151.13,63.5,1,40,54.25,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.49397816338367,8.827299185110007,139.53,,v.Pellico-Casate,1,PTUA2003,
PO015113NUP001,,,MI,INVERUNO,01/03/2015,489297.5977,5039466.985,158.606,158.826,25.0,1,9,25,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.50865325685648,8.862991416958833,,,,,,
PO015146NU1313,0151461313,,MI,MILANO,01/01/2010,519751.0,5037935.0,118.845,118.845,19.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.49466612435916,9.25278311987484,119.3,,nan  Fogn. PZ 43  ,1,PTUA2003,
PO015146NU1534,0151461534,,MI,MILANO,01/01/2010,510123.0,5040197.0,138.95,138.83,24.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.51523284574417,9.129606368874434,138.83,,nan  FOgn.PZ 4,1,PTUA2003,
PO015146NU1536,,,MI,MILANO,01/03/2012,511864.0,5036686.0,125.2,125.2,19.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.48360250118908,9.151811643170053,,,,,,
PO015146NU1557,,,MI,MILANO,01/03/2012,514394.0,5036838.0,123.76,123.7,30.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,45.48492305802869,9.184189806521267,,,,,,
PO015243NUP001,,,MI,VITTUONE,01/03/2015,496210.5145,5037318.334,147.213,146.463,50.0,1,30,50,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi",45.48938482411444,8.95150481522566,,,,,,
PO015146NU1120,0151461120,,MI,MILANO,01/01/2010,513604.0,5033914.0,117.37,117.37,17.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.45861958137727,9.173999779020887,117.74,,nan  Fogn. PZ 40,1,PTUA2003,
PO015146NU1353,,,MI,MILANO,01/03/2012,519795.0,5033780.0,108.811,108.811,16.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,45.4572653659559,9.253178716873853,,,,,,
PO018162NUP001,,,PV,TRAVACO' SICCOMARIO,01/03/2015,512843.2754,4999704.742,61.197,60.482,14.0,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.15070249999365,9.163382961209646,,,,,,
PO019071NRA001,,,CR,PIADENA,01/01/2006,611002.0,4998742.0,26.5,26.14,10.0,1,1,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.1334279212755,10.411662098856352,,,,,,
PO0181140U0002,,,PV,PIEVE PORTO MORONE,01/01/2006,534746.0,4995245.0,55.383,55.383,24.0,1,12,18,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.109819882165645,9.441698102871497,,,,,,
PO019040NRA001,,,CR,DEROVERE,01/01/2006,597838.0,4994940.0,32.95,32.7,10.0,1,2,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.10115783848367,10.243548312524648,,,,,,
PO019089NUA001,,,CR,SAN DANIELE PO,01/05/2014,590532.0,4991152.0,33.6,33.6,25.0,1,13,25,DIDATTICO/SCIENTIFICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.06803923548214,10.150022224552083,,,,,,
PO019091NRA001,,,CR,SAN MARTINO DEL LAGO,01/01/2006,602954.0,4991122.0,29.18,28.83,12.0,1,2,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.0660714888026,10.307773243510464,,,,,,
PO0200030R0002,,,MN,BAGNOLO SAN VITO,01/10/2005,645227.0,4994417.0,17.258,17.258,52.3,n.d.,n.d.,n.d.,IGIENICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,SI,,45.08830784105811,10.845462043610375,,,,,,
PO020021NRP001,,,MN,CURTATONE,01/03/2015,633518.3157,4994872.379,20.444,21.694,40.0,1,34,40,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.09471228206729,10.696864359763076,,,,,,
PO0200310R0062,,,MN,MARCARIA,01/06/2001,627739.0,4991877.0,21.824,21.824,8.0,n.d.,n.d.,n.d.,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.06882684511838,10.622682759038806,,,,,,
PO0980110U0001,0980110001,,LO,CASELLE LANDI,01/03/2015,562209.7293,4994623.069,45.233,45.493,62.3,2,32.5,61,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.10233820273572,9.790719260117047,45.34,45.58,via Roma I,,PTUA2003-CAP                                                                                                                                                                                                                                                           ,via Roma I                                                                                                                                                                                                                                                    
PO098049NR0141,,,LO,SAN ROCCO AL PORTO,01/05/2014,550976.491,4994237.896,49.723,49.747,12.0,1,5.2,12,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.099770461788594,9.647909677464376,,,,,,
PO0180470U0001,,,PV,CERVESINA,01/01/2006,501288.0,4989873.0,71.908,71.718,81.0,2,42,77,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.06231522541533,9.016359748355203,,,,,,
PO019103NRA001,,,CR,STAGNO LOMBARDO,01/01/2006,583736.0,4989691.0,34.83,34.46,12.0,1,1,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.05572646156799,10.063464746968014,,,,,,
PO019083NRA001,,,CR,RIVAROLO DEL RE ED UNITI,01/05/2014,616502.0,4988727.0,21.39,22.0,20.0,1,10,20,ANTINCENDIO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,si,,45.04241928906904,10.479256731705936,,,,,,
PO0200290R0002,,,MN,MAGNACAVALLO,01/03/2012,668106.0,4985295.0,13.0,13.0,15.0,1,13,15,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,,45.00118347909417,11.132954044496936,,,,,,
