CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
980480003,SAN MARTINO IN STRADA,1541478,5013387,70.16,via F.Aporti-serb.,,,,
980490001,SAN ROCCO AL PORTO,1554770,4992220,43.59,via Acquedotto,LO,X,1,24
152040003,SEDRIANO,1497800,5037160,138.03,via Fagnani,MI,,,16
152050140,SEGRATE,1523055,5035090,111,Idroscalo,MI - Città,X,2,17
152050007,SEGRATE,1521059,5038729,121.76,Milano 2,,,,
152060004,SENAGO,1510324,5047248,169.78,v. Adda,MI - Par.,X,2,12
980530003,SENNA,1546645,4999934,47.89,LODIGIANA via Acquedotto,,,,
152090017,SESTO SAN GIOVANNI,1517310,5042250,116.29,via Baracca,,,,
152090021,SESTO SAN GIOVANNI,1519104,5042802,117.19,via Italia,,,,
152090016,SESTO SAN GIOVANNI,1520400,5044400,121.98,via Tevere,MI - MONZA,,,13
152090014,SESTO SAN GIOVANNI,1517917,5041639,114.37,via Marelli,,,,
152100004,SETTALA,1530910,5030970,98.6,depuratore,MI - Città,X,1,17
152110005,SETTIMO MILANESE,1505114,5036454,132.82,v.Fermi,MI - Par.,,2,16
152130001,SOLARO,1505849,5051473,211.36,v. Drizza,,,,
152130021,SOLARO,1506695,5051430,208,v. S.Paolo,MI - Par.,X,3,7
152160005,SOVICO,1520190,5054875,174.26,Beta spa-via Volta,,,,
181520001,SPESSA,1527070,4997630,68.5,via delle Betulle,,,,
152170007,SULBIATE,1533555,5053640,230.2,04-nov,,,,
152200001,TREZZANO SUL NAVIGLIO,1504740,5029600,113.21,via Edison,,,,
152210001,TREZZO SULL'ADDA,1540543,5051091,141.68,via Visconti,MI - Par.,X,1,19
152220001,TRIBIANO,1528826,5027968,94.78,Puccini,,,,
152230007,TRIUGGIO,1521240,5055620,181.37,via Kennedy,,,,
980580002,TURANO LODIGIANO,1548759,5010831,59.95,via 25 Aprile,,,,
980590001,VALERA FRATTA,1526403,5011526,72.35,serb.scuola materna,,,,
181690010,VALLE SALIMBENE,1517310,5000450,64.1,C.na Moncucca,,,,
152490002,VANZAGHELLO,1483170,5047350,164.42,via Roma II,,,,
152490004,VANZAGHELLO,1482365,5046720,191.5,C.La Fogna,,,,
152490020,VANZAGHELLO,1482365,5046720,191.5,C.La Fogna piez,,,,
152300003,VAPRIO D'ADDA,1540700,5046980,129.08,via Pozzo-serb.,,,,
152340016,VERANO BRIANZA,1518620,5059065,183.11,via Sabbionette,,,,
152350001,VERMEZZO,1498622,5026499,113.52,via Dante,MI - Par.,X,2,19
152360003,VERNATE,1506074,5019418,100.79,Pasturago,MI - Città,X,2,17
181800003,VILLANTERIO,1526970,5009965,77,fraz.Bolognola,,,,
152410041,VIMERCATE,1528045,5053045,180.79,IBM pozzo E,MI - MONZA,,,9
152420041,VIMODRONE,1521660,5039578,114.2,FEM v.La Torre,,,,
PO1200200800T0,ALBIZZATE,1485030,5065340,317.9,via G. Rossa 8 ,VA,X,SUPERF.,1
7-S2,APPIANO GENTILE,1498475,5064290,352,Via Mazzini  Comune,CO,,2,2
12,BELGIOIOSO,1523740,5000800,75.8,via Dante  5,PV,X,1,22
28,BEREGUARDO,1502530,5011330,98,Via S. Antonino  4,PV,,,22
13(19),BINAGO,1492848,5069930,373,via delle Acacie  Comune   pozzo Acacie 3,CO,X,2,2
7-S19,BORNASCO,1517200,5012745,82,presso Municipio  1,PV,X,1,19
7-S20,BORNASCO,1517200,5012745,82,presso Municipio  1,PV,X,1,20
7(9),BREGNANO,1503775,5061925,285,loc. Puginate  Cons. Lura Ambiente   pozzo 6,CO,X,2,2
11(15),BRENNA,1514972,5064371,342,Loc. Pozzolo  Soc. Pragma Spa   pozzo 3,CO,X,2,2
6(8),BULGAROGRASSO,1500420,5065600,327,via Montichiari  Az. Colline Comasche pozzo 1,CO,X,2,2
PO1202602103T0,BUSTO ARSIZIO,1486405,5048283,210.5,ZONA INDUSTRIALE ,VA,,,5
12(17),CABIATE,1514195,5057470,237,via Buozzi  S.E.T. srl   pozzo 1,CO,X,2,3
10 (14),CANTÙ,1509350,5065650,305,Cascna S.Antonino  Canturina Servizi spa   pozzo S. Antonino,CO,X,2,3
13,CANTÙ,,,260,Asnago  p. Asnago 4  Canturina Servizi spa,CO,,,3
15 (22),CAPIAGO INTIMIANO,1510495,5068940,420,Via Roma Az.Colline Com. pozzo Guastone 1,CO,X,2,3
1,CARBONATE,,,186,via Giovanni XXIII Acqua Serpio spa,CO,,,2
9(12),CARIMATE,1508600,5060822,244,Valle Serenza  Canturina Servizi spa   pozzo 2,CO,x,2,3
154900021,CARNATE,1529290,5054175,215.226,Grandi nuovo  CAP,MI - MONZA,X,2,4
154900019,CARNATE,1529290,5054175,215.226,Grandi x Usmate  CAP,MI - MONZA,X,3,4
PO1203600300T0,CASALE LITTA,1479360,5065190,280.72,Firello - Villa Dosia ,VA,X,SUPERF. (acquifero locale),1
PI097016101,CASATENOVO,1524964,5058591,294.1,MAGGIONI (EX PIRROTTA) ,LC,X,2,4
18(2bis),CERMENATE,1506475,5061530,305,via Petrarca  Cons. Lura ambiente   pozzo 2,CO,X,2,2
11,CERMENATE,1505880,5060468,285,Via I Maggio  Consorzio Lura Ambiente spa,CO,,,2
PC097020003,CERNUSCO LOMBARDONE,1530522,5059523,248,VILLA ,LC,X,2,4
6,CURA,1520475,5007050,71.4,Borghetto  1,PV,X,2,22
4(6),FENEGRÒ,1500090,5061970,305,Via Trento  Antiga Spa   pozzo 2,CO,X,2,2
4 bis,FIGINO SERENZA,1510815,5061625,300,Loc Campaccio  soc. Pragma spa,CO,,,3
8(10),FINO MORNASCO,1504625,5065990,299,Cascina Pazzea  Az.Colline Comasche   pozzo 2,CO,X,2,2
PO1207000900T0,GALLARATE,1483140,5055620,235,via Alberone - via Ferrari ,VA,X,SUPERF. (acquifero locale),5
PO1207002201T0,GALLARATE,1482360,5058150,271,via Monte S. Martino ,VA,X,MISTA,5
10,GENZONE,1527575,5002880,72.7,Via cairoli  1,PV,,,23
PO1207502002T0,GERENZANO,1497940,5052150,220.65,Discarica - controllo ,VA,X,SUPERF.,6
8,GIUSSAGO,1511200,5014400,92,via Papa Giov. XXIII   2,PV,X,2,19
63,GIUSSAGO,,,86.7,Via F.lli Cervi  5,PV,,,19
PC097039001,IMBERSAGO,1535411,5060791,198,ROBBIATE1- via dei Mulini ,LC,X,2,4
PC097039003,IMBERSAGO,1534898,5062596,196,PONTICELLO- Strada Alzaia ,LC,X,2,4
18,INVERIGO,1517738,5065790,322,C.na Rocchina  Comune,CO,,,3
151140006,INZAGO,1536840,5041965,129,vill.Residenziale ,MI,,,14
30,LANDRIANO,1520920,5017805,86.8,Strada Cerca  4,PV,,,20
5,LIMIDO COMASCO,1498324,5059851,280,via Vicolo Scalini  Antiga Spa   pozzo 2,CO,X,2,2
PO1209000902T0,LONATE POZZOLO,1477670,5005023,207.4,via Molinelli - Bellaria ,VA,X,SUPERF.,5
PO1209000903T0,LONATE POZZOLO,1477670,5050230,207.45,via Molinelli - Bellaria ,VA,X,PROFONDA,5
16(23),LURAGO D'ERBA,1518210,5067545,320,Pioppete  Soc. Pragma Spa,CO,X,2,3
16,MARIANO COMENSE,1513175,5061640,289,Via per Novedrate  Pozzo 3   Pragma S.P.A,CO,,,3
5 bis,MARIANO COMENSE,1514310,5060568,255,Via S. D'Acquisto  Pragma S.P.A,CO,,,3
20-S3,MARIANO COMENSE,1514310,5060568,255,Via S. d'Acquisto Soc. Pragma S.P.A   Trotti Grande,CO,X,3,3
PC097048001,MERATE,1531012,5061302,266,REGONDINO ,LC,X,2,4
151460036,MILANO,1516872,5033973,115,nan  Acqued. Anfossi 16,MI - Città,,3,17
151460040,MILANO,1512512,5035801,123.7,nan  Acqued. C. Armi 4,MI - Città,,2,17
151460290,MILANO,1518933,5037571,121.5,nan  Acqued. C. Feltre 17,MI - Città,,2,17
151460413,MILANO,1519041,5033694,109.8,nan  Acqued. C. Ovidio 10,MI - Città,,2,17
151460477,MILANO,1512360,5041410,141.5,nan  Acqued. C. Salemi 8,MI - Città,,3,17
151461435,MILANO,1509933,5031679,114.2,nan  Fogn. PZ 20,MI - Città,,1,17
151461120,MILANO,1513631,5033934,117.74,nan  Fogn. PZ 40,MI - Città,,1,17
151461313,MILANO,1519749,5037968,119.3,nan  Fogn. PZ 43  ,MI - Città,,1,17
151461379,MILANO,1518799,5029419,103.4,nan  Fogn. PZ 54,MI - Città,,1,17
151461534,MILANO,1510149,5040199,138.83,nan  FOgn.PZ 4,MI - Città,,1,17
PI097049101,MISSAGLIA,1528143,5059731,274.5,BRIVIO ,LC,X,2,4
151490084,MONZA,1521014,5048849,174,pozzo Battisti 2  AGAM,MI - MONZA,,2,9
PO1210601101T0,MORNAGO,1480820,5064970,289.4,VINAGO ,VA,,,1
PO1210601504T0,MORNAGO,1481720,5065240,289.7,Montonate ,VA,X,SUPERF. (acquifero locale),1
1 (2),MOZZATE,1495999,5058550,262.6,via Libertà  Aqua Seprio spa   pozzo 4,CO,X,2,2
19(3bis),NOVEDRATE,1511046,5060448,282,Villaggio Veneto - 1  Comune   pozzo 3,CO,X,3,3
20-S2,OLGIATE COMASCO,1498015,5068805,398,via Repubblica  Comune,CO,,,2
14(21),OLTRONA DI SAN MAMETTE,1497860,5067095,373,Margè  Az. Colline Comasche,CO,X,2,2
PC097061011,OSNAGO,1530797,5057843,246,STATALE -via Statale ,LC,X,2,4
4-S22,PAVIA,1510910,5006400,82.6,Campeggi 1  40,PV,,,22
3(5),ROVELLASCA,1504185,5057342,247,via Dante  Cons. Lura Ambiente   pozzo 2,CO,X,MISTA,2
17(1bis),ROVELLO PORRO,1503100,5055090,235,via General Porro  Cons. Lura Ambiente   pozzo 3,CO,X,3,7
4-S7,ROVELLO PORRO,1503030,5056525,245,Via don Ballabio  Consorzio Lura Ambiente spa,CO,,,7
981900003,SALERANO,1530130,5015585,80.48,nan ,LO,,,21
PO1211800500T0,SAMARATE,1481085,5052910,223.7,via Mezzomonte - C. Costa ,VA,X,SUPERF.,5
PO1212000200T0,SESTO CALENDE,1471395,5064270,208.22,Abbazia S.P.S. Donato ,VA,X,PROFONDA (valle Ticino),1
62,SIZIANO,1515665,5017899,89.9,via I Maggio  2,PV,X,2,20
9,TORRE D'ARESE,1525160,5009820,77.4,via Morivione  1,PV,X,3,20
2(3),TURATE,1501039,5054988,240,C.I.E. n.2  Comune   pozzo 6,CO,X,2,6
PC15227001,USMATE VELATE,1527651,5056898,239.5,VALAPERTA1 ,LC,X,2,4
PC09788001,VERDERIO SUPERIORE,1533927,5057534,248,SAN CARLO - via San Carlo ,LC,X,2,4
152370002,VIGNATE,1529485,5038157,117.5,via Marconi  ,MI,,,18
