CODICE,x,y,z,COMUNE,INFO,PROVINCIA,SETTORE,STRAT.,FALDA,ORIGINE
0D151460000,1535650.0,5001980.0,71.5,MIRADOLO TERME,via Baratti,,,,,PTUA2003
0180930002,1535877.0,5019968.0,71.24,MONTANASO LOMBARDO,Comune,,,,,PTUA2003
0980400001,1522947.0,5051402.0,166.86,MONZA,Parco-Golf Club,,,,,PTUA2003
0151490142,1521145.0,5046503.0,130.47,MONZA,Garbagnati via Val d'Ossola,,,,,PTUA2003
0151500013,1497395.0,5018890.0,106.5,MORIMONDO,C.na Fallavecchia,MI - Par.,19.0,,2,PTUA2003
0151520030,1517175.0,5045310.0,135.46,MUGGIÒ,pozzo Impianto Pilota,,,,,PTUA2003
0980410001,1531414.0,5024506.0,84.74,MULAZZANO,via Lago Maggiore,,,,,PTUA2003
0151540003,1498550.0,5044810.0,154.6,NERVIANO,via Chinotto-serb.II,,,,,PTUA2003
0151540064,,,,NERVIANO,Cantone 64,,,,,PTUA2003
0151540065,1498320.0,5043055.0,166.0,NERVIANO,Cantone 65,MI - Par.,11.0,X,3,PTUA2003
0151540066,,,,NERVIANO,Cantone piez,,,,,PTUA2003
0151540007,1497539.0,5044446.0,174.58,NERVIANO PASUBIO,sopra,,,,,PTUA2003
0D151540007,1497539.0,5044446.0,174.58,NERVIANO PASUBIO,sotto,,,,,PTUA2003
0151560024,1514995.0,5048680.0,138.04,NOVA MILANESE,via Grandi,,,,,PTUA2003
0151570002,1510867.0,5042285.0,121.6,NOVATE MILANESE,via Manzoni-serb.II,,,,,PTUA2003
0151590004,1516913.0,5027004.0,93.62,OPERA,Mirasole,,,,,PTUA2003
0980420003,1543820.0,5000952.0,51.5,ORIO LITTA,via Pio Rossi,LO,24.0,X,1,PTUA2003
0151640003,1492289.0,5039131.0,146.23,OSSONA,via 25 Aprile-Marconi,,,,,PTUA2003
0151650025,1494215.0,5023750.0,107.5,OZZERO,v.25 Aprile-Faraon,MI,19.0,,,PTUA2003
0151660003,1512878.0,5046812.0,133.78,PADERNO DUGNANO,via S.M.del Carso,,,,,PTUA2003
0151660007,1514450.0,5046495.0,131.61,PADERNO DUGNANO,Calderara,,,,,PTUA2003
0151660019,1513210.0,5047990.0,172.0,PADERNO DUGNANO,v.Galli,,,,,PTUA2003
0151670001,1527170.0,5032050.0,97.39,PANTIGLIATE,v.D'Annunzio,MI - Città,18.0,,2,PTUA2003
0181100101,1508425.0,5007685.0,85.3,PAVIA,C.na Montebello,,,,,PTUA2003
0151700005,1506621.0,5039129.0,139.87,PERO,Bergamina,,,,,PTUA2003
0151710024,1522950.0,5032800.0,102.2,PESCHIERA BORROMEO,Depuratore,,,,,PTUA2003
0151710197,1522946.0,5032854.0,105.61,PESCHIERA BORROMEO,FEM Mezzate,MI - Città,17.0,,1,PTUA2003
0980450001,1535548.0,5013741.0,72.89,PIEVE FISSIRAGA,C.na S.Antonio,,,,,PTUA2003
0181140002,1534790.0,4995405.0,54.7,PIEVE PORTO MORONE,via Repubblica,,,,,PTUA2003
0151750289,1525025.0,5036125.0,112.5,PIOLTELLO,FEM Limito,,,,,PTUA2003
0151750006,1525252.0,5038044.0,109.3,PIOLTELLO,via Pisa,,,,,PTUA2003
0151750008,1525340.0,5039735.0,126.16,PIOTELLO,S.Francesco,,,,,PTUA2003
0151750291+C132,1525340.0,5039735.0,126.16,PIOTELLO,S.Francesco piez.,,,,,PTUA2003
