CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
0151710197,PESCHIERA BORROMEO,1522946.0,5032854.0,105.61,FEM Mezzate,MI - Città,,1,17.0
0151750006,PIOLTELLO,1525252.0,5038044.0,109.3,via Pisa,,,,
0151750289,PIOLTELLO,1525025.0,5036125.0,112.5,FEM Limito,,,,
0151750291+C132,PIOTELLO,1525340.0,5039735.0,126.16,S.Francesco piez.,,,,
0151760002,POGLIANO MILANESE,1499485.0,5042120.0,162.5,Garibaldi,,,,
0151790040,PREGNANA MILANESE,1499516.0,5042096.0,143.48,via Gallarate,,,,
0151810001,RESCALDINA,1496200.0,5051450.0,180.25,via Melzi-Comune I,MI - Par.,X,1,6.0
0151820106,RHO,1503760.0,5039860.0,138.59,Alumix spa via S.Martino,MI - Par.,,1,11.0
0151830028,ROBECCHETTO CON INDUNO,1482745.0,5041027.0,144.3,via Don Pozzi,,,,
0151840023,ROBECCO SUL NAVIGLIO,1488730.0,5030170.0,107.78,C.na Visconta,,,,
0151850001,RODANO,1528061.0,5035495.0,103.16,via S.Pellico,,,,
0151850004,RODANO,1528135.0,5035520.0,110.5,via S.Pellico,MI - Città,X,3,17.0
0151860001,RONCELLO,1535790.0,5049790.0,158.39,S.Ambrogio-serb.,MI - MONZA,X,2,9.0
0151870001,RONCO BRIANTINO,1531348.0,5057132.0,210.11,via Mandelli-serb.,,,,
0151880001,ROSATE,1501271.0,5021782.0,105.59,p.za Vitt.Veneto,,,,
0151890001,ROZZANO,1511429.0,5024772.0,103.4,via Matteotti,,,,
0151910009,SAN COLOMBANO AL LAMBRO,1539965.0,5001295.0,55.45,Mostiola,,,,
0151920005,SAN DONATO,1520822.0,5030727.0,103.19,v.A.Moro,,,,
0151950007,SAN GIULIANO,1519358.0,5026813.0,95.41,Maroncelli,,,,
0151950012,SAN GIULIANO,1520795.0,5027435.0,99.0,v. Liberazione,,,,
0151950015,SAN GIULIANO,1523855.0,5025495.0,93.5,v.Tolstoy,,,,
