CodiceSIF,COD_LOCALE,TIPO,TIPOLOGIA,COMPARTO,COMUNE,X_GB,Y_GB,QUOTA,PROF,FILTRO_DA,FILTRO_A
0152090366,PZ2,PIE,SUP/PROF,METALCAM,Sesto San Giovanni,1517600,5041690,136,44,-999,-999
0152090367,PZ3,PIE,SUP,METALCAM,Sesto San Giovanni,1517380,5041366,136,27,-999,-999
0152090369,PZ5,PIE,SUP/PROF,METALCAM,Sesto San Giovanni,1517455,5041322,136,44,-999,-999
0152090372,PZ8,PIE,SUP/PROF,METALCAM,Sesto San Giovanni,1517341,5041652,136,44,-999,-999
0152090373,PZ9,PIE,SUP,METALCAM,Sesto San Giovanni,1517345,5041659,136,24,-999,-999
0152090374,PZ1,PIE,PROF,SCALO_FERROVIARIO,Sesto San Giovanni,1518727.87,5043182.52,144.34,50,40,50
0152090375,PZ2,PIE,SUP,SCALO_FERROVIARIO,Sesto San Giovanni,1518732.44,5043187.97,144.18,30,20,30
0152090378,PZ5,PIE,PROF,SCALO_FERROVIARIO,Sesto San Giovanni,1518607.56,5042839.6,144.21,50,40,50
0152090379,PZ6,PIE,SUP,SCALO_FERROVIARIO,Sesto San Giovanni,1518612.2,5042836.64,144.21,30,20,30
0152090385,Ps1,PIE,SUP,SAPSA_BEDDING,Sesto San Giovanni,1518810,5041478,-999,35,-999,-999
0152090386,Pp1,PIE,PROF,SAPSA_BEDDING,Sesto San Giovanni,1518811,5041478,-999,53,-999,-999
0152090389,Ps3,PIE,SUP,SAPSA_BEDDING,Sesto San Giovanni,1518691,5041370,-999,35,-999,-999
0152090390,Pp3,PIE,PROF,SAPSA_BEDDING,Sesto San Giovanni,1518692,5041370,-999,53,-999,-999
0152090391,Ps4,PIE,SUP,SAPSA_BEDDING,Sesto San Giovanni,1518767,5041250,-999,35,-999,-999
0152090392,Pp4,PIE,PROF,SAPSA_BEDDING,Sesto San Giovanni,1518766,5041250,-999,53,-999,-999
