ID1,ORIGINE_DA,ANNO,codice,sif,N_POZZO,N_POZZO_TX,COMUNE,INDIRIZZO_,INDIRIZZO,X,GEN,Y,Z,APR,FEB,MAR,MAG,GIU,LUG,AGO,SET_,OTT,NOV,DIC
513,CAP                                                                                                                                                                                                                                                           ,2001,98042.0003                                                                                                                                                                                                                                                    ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,12.2,5000952,65.02,10.6,12,10.8,10.6,10.9,11.3,0,11.7,0,0,11.9
514,CAP                                                                                                                                                                                                                                                           ,2002,98042.0003                                                                                                                                                                                                                                                    ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,12.1,5000952,65.02,0,22.9,12.2,11.8,0,0,11,11.2,11.2,11.6,11.5
515,CAP                                                                                                                                                                                                                                                           ,2003,98042.0003                                                                                                                                                                                                                                                    ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,11.2,5000952,65.02,11.8,11.5,11.7,12,12,0,11.9,12,12.2,12.2,12
516,CAP                                                                                                                                                                                                                                                           ,2004,980420003                                                                                                                                                                                                                                                     ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,0,5000952,65.02,0,11.85,11.6,0,11.7,11.7,11.9,12,12,11.9,12.2
517,CAP                                                                                                                                                                                                                                                           ,2005,980420003                                                                                                                                                                                                                                                     ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,12,5000952,65.02,0,12.15,0,0,0,0,0,0,0,0,0
518,CAP                                                                                                                                                                                                                                                           ,2006,980420003                                                                                                                                                                                                                                                     ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,11.8,5000952,65.02,12.5,12,12.4,12.5,12.7,0,12.4,0,0,0,0
519,CAP                                                                                                                                                                                                                                                           ,2007,980420003                                                                                                                                                                                                                                                     ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,10.29,5000952,65.02,11.85,11.94,11.75,11.85,11.55,11.3,0,10.9,10.85,11.15,11.3
520,CAP                                                                                                                                                                                                                                                           ,2008,980420003                                                                                                                                                                                                                                                     ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,11.5,5000952,65.02,11.65,11.3,11.75,11.7,11.6,11.45,11.2,11.4,11.75,11.35,11.45
521,CAP                                                                                                                                                                                                                                                           ,2009,980420003                                                                                                                                                                                                                                                     ,0980420003                                                                                                                                                                                                                                                    ,3,3                                                                                                                                                                                                                                                             ,ORIO LITTA                                                                                                                                                                                                                                                    ,ORIO LITTA                          via Pio Rossi                                                                                                                                                                                                             ,via Pio Rossi                                                                                                                                                                                                                                                 ,1543820,11.45,5000952,65.02,7.25,11.45,0,7.13,7.25,7.65,8.85,8.73,9.05,0,11.47
522,CAP                                                                                                                                                                                                                                                           ,1993,1                                                                                                                                                                                                                                                             ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1535548,0,5013741,78.92,0,0,0,0,4.21,3.8,0,3.82,3.18,0,0
523,CAP                                                                                                                                                                                                                                                           ,1994,1                                                                                                                                                                                                                                                             ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1535548,3.78,5013741,78.92,0,3.97,4.26,0,0,0,3.6,3.37,3.28,3.5,0
524,CAP                                                                                                                                                                                                                                                           ,1995,174001                                                                                                                                                                                                                                                        ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                              ,1535548,3.88,5013741,78.92,4.18,4.1,4,4.27,4,3.86,3.53,3.45,3.6,3.88,4
525,CAP                                                                                                                                                                                                                                                           ,1996,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,3.95,5013741,78.92,4.43,3.66,3.85,4.08,3.94,3.78,3.7,3.53,3.7,3.8,3.7
526,CAP                                                                                                                                                                                                                                                           ,1997,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,3.47,5013741,78.92,4.45,0,3.98,4.51,4.35,4,0,3.68,3.9,4.1,0
527,CAP                                                                                                                                                                                                                                                           ,1998,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,3.95,5013741,78.92,4.55,0,4.2,4.63,4.45,0,0,3.7,0,4.05,0
528,CAP                                                                                                                                                                                                                                                           ,1999,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,4.2,5013741,78.92,4.6,4.5,0,0,4.55,3.9,0,3.63,0,3.8,0
529,CAP                                                                                                                                                                                                                                                           ,2000,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,4.1,5013741,78.92,0,4.3,4.5,4.3,4,0,3.4,3.7,3.8,0,3.9
530,CAP                                                                                                                                                                                                                                                           ,2001,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,3.8,5013741,78.92,4.2,4,4,4.2,4,3.7,0,3.9,0,0,4
531,CAP                                                                                                                                                                                                                                                           ,2002,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,4.1,5013741,78.92,0,4.4,4.7,4.5,0,0,3.7,3.7,3.6,3.8,3.7
532,CAP                                                                                                                                                                                                                                                           ,2003,98045.0001                                                                                                                                                                                                                                                    ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,3.5,5013741,78.92,4.1,3.5,3.8,4.4,4.3,0,4.2,3.9,4.1,4.3,4.1
533,CAP                                                                                                                                                                                                                                                           ,2004,980450001                                                                                                                                                                                                                                                     ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,0,5013741,78.92,0,4,4.4,0,4.2,3.9,3.7,3.6,3.6,3.7,3.5
534,CAP                                                                                                                                                                                                                                                           ,2005,980450001                                                                                                                                                                                                                                                     ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,3.6,5013741,78.92,0,3.5,0,0,0,0,0,0,0,0,0
535,CAP                                                                                                                                                                                                                                                           ,2006,980450001                                                                                                                                                                                                                                                     ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,3.4,5013741,78.92,3.7,3.5,3.8,4.1,4.5,0,4,0,0,0,0
536,CAP                                                                                                                                                                                                                                                           ,2007,980450001                                                                                                                                                                                                                                                     ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,2.45,5013741,78.92,0,4.1,0,4.1,4.15,3.9,0,3.7,3.45,3.75,3.85
537,CAP                                                                                                                                                                                                                                                           ,2008,980450001                                                                                                                                                                                                                                                     ,0980450001                                                                                                                                                                                                                                                    ,1,1                                                                                                                                                                                                                                                             ,PIEVE FISSIRAGA                                                                                                                                                                                                                                               ,PIEVE FISSIRAGA             C.na S.Antonio                                                                                                                                                                                                                    ,Cascina  S.Antonio                                                                                                                                                                                                                                            ,1535548,4.15,5013741,78.92,4.15,3.8,4,4.1,4,3.65,3.45,3.65,3.85,3.75,3.75
