CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z
0151950006,CAP                                                                                                                                                                                                                                                           ,SAN GIULIANO MILANESE                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                              ,1523627.0,5026282.0,94.44
0151950007,CAP                                                                                                                                                                                                                                                           ,SAN GIULIANO MILANESE                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                              ,1519362.736,5026815.913,100.01
0151950012,CAP                                                                                                                                                                                                                                                           ,SAN GIULIANO MILANESE                                                                                                                                                                                                                                         ,Via Liberazione                                                                                                                                                                                                                                               ,1520796.122,5027435.164,98.68
0151950015,CAP                                                                                                                                                                                                                                                           ,SAN GIULIANO MILANESE                                                                                                                                                                                                                                         ,Via Tolstoy                                                                                                                                                                                                                                                   ,1523870.926,5025500.631,93.46
0152020001,CAP                                                                                                                                                                                                                                                           ,SAN ZENONE AL LAMBRO                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,1528049.829,5019050.828,82.63
0152020002,CAP                                                                                                                                                                                                                                                           ,SAN ZENONE AL LAMBRO                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,1528036.658,5019062.818,83.09
0181390002,CAP                                                                                                                                                                                                                                                           ,SANTA CRISTINA E BISSONE                                                                                                                                                                                                                                      ,via Milano                                                                                                                                                                                                                                                    ,1531095.0,5000710.0,68.79
0152050004,CAP                                                                                                                                                                                                                                                           ,SEGRATE                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1523932.355,5035450.226,111.25
0152050138,CAP                                                                                                                                                                                                                                                           ,SEGRATE                                                                                                                                                                                                                                                       ,Idroscalo                                                                                                                                                                                                                                                     ,1523064.261,5035094.303,111.21
0152050140,CAP                                                                                                                                                                                                                                                           ,SEGRATE                                                                                                                                                                                                                                                       ,Idroscalo                                                                                                                                                                                                                                                     ,1523055.0,5035090.0,111.21
0152100001,CAP                                                                                                                                                                                                                                                           ,SETTALA                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1529843.713,5035307.304,109.11
0152100004,CAP                                                                                                                                                                                                                                                           ,SETTALA                                                                                                                                                                                                                                                       ,depuratore                                                                                                                                                                                                                                                    ,1530907.0,5030968.0,98.42
0181500002,CAP                                                                                                                                                                                                                                                           ,SIZIANO                                                                                                                                                                                                                                                       ,I Maggio                                                                                                                                                                                                                                                      ,1515666.0,5017906.0,90.06
0181570001,CAP                                                                                                                                                                                                                                                           ,TORRE D'ARESE                                                                                                                                                                                                                                                 ,Morivione                                                                                                                                                                                                                                                     ,1525155.0,5009818.0,77.34
0152470001,CAP                                                                                                                                                                                                                                                           ,ZIBIDO SAN GIACOMO                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                              ,1508836.146,5023878.102,103.48
