gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
98,PO0130230U0003,32,2011-03-01,,no,,,365.964,,372.084,non noto,PTUA2022,
99,PO0130230U0003,32,2011-04-01,,no,,,366.164,,372.084,non noto,PTUA2022,
100,PO0130230U0003,32,2011-05-01,,no,,,365.664,,372.084,non noto,PTUA2022,
101,PO0130230U0003,32,2011-06-01,,no,,,365.274,,372.084,non noto,PTUA2022,
102,PO0130230U0003,32,2011-07-01,,no,,,364.974,,372.084,non noto,PTUA2022,
103,PO0130230U0003,32,2011-08-01,,no,,,364.974,,372.084,non noto,PTUA2022,
104,PO0130230U0003,32,2011-09-01,,no,,,364.524,,372.084,non noto,PTUA2022,
105,PO0130230U0003,32,2011-10-01,,no,,,364.274,,372.084,non noto,PTUA2022,
106,PO0130230U0003,32,2011-12-01,,no,,,364.914,,372.084,non noto,PTUA2022,
107,PO0130230U0003,32,2012-01-01,,no,,,364.604,,372.084,non noto,PTUA2022,
108,PO0130230U0003,32,2012-02-01,,no,,,364.224,,372.084,non noto,PTUA2022,
109,PO0130230U0003,32,2012-03-01,,no,,,364.014,,372.084,non noto,PTUA2022,
110,PO0130230U0003,32,2012-04-01,,no,,,363.774,,372.084,non noto,PTUA2022,
111,PO0130230U0003,32,2012-05-01,,no,,,364.624,,372.084,non noto,PTUA2022,
112,PO0130230U0003,32,2012-06-01,,no,,,365.384,,372.084,non noto,PTUA2022,
113,PO0130230U0003,32,2012-07-01,,no,,,365.324,,372.084,non noto,PTUA2022,
114,PO0130230U0003,32,2012-08-01,,no,,,364.954,,372.084,non noto,PTUA2022,
115,PO0130230U0003,32,2012-09-01,,no,,,364.694,,372.084,non noto,PTUA2022,
116,PO0130230U0003,32,2012-10-01,,no,,,364.494,,372.084,non noto,PTUA2022,
117,PO0130230U0003,32,2012-11-01,,no,,,364.424,,372.084,non noto,PTUA2022,
118,PO0130230U0003,32,2012-12-01,,no,,,365.264,,372.084,non noto,PTUA2022,
119,PO0130230U0003,32,2013-01-01,,no,,,365.284,,372.084,non noto,PTUA2022,
120,PO0130230U0003,32,2013-02-01,,no,,,365.024,,372.084,non noto,PTUA2022,
121,PO0130230U0003,32,2013-03-01,,no,,,364.844,,372.084,non noto,PTUA2022,
122,PO0130230U0003,32,2013-04-01,,no,,,365.364,,372.084,non noto,PTUA2022,
123,PO0130230U0003,32,2013-05-01,,no,,,366.704,,372.084,non noto,PTUA2022,
124,PO0130230U0003,32,2013-06-01,,no,,,366.734,,372.084,non noto,PTUA2022,
125,PO0130230U0003,32,2013-07-01,,no,,,366.084,,372.084,non noto,PTUA2022,
126,PO0130230U0003,32,2013-08-01,,no,,,365.394,,372.084,non noto,PTUA2022,
127,PO0130230U0003,32,2013-09-01,,no,,,364.824,,372.084,non noto,PTUA2022,
128,PO0130230U0003,32,2013-10-01,,no,,,364.964,,372.084,non noto,PTUA2022,
129,PO0130230U0003,32,2013-11-01,,no,,,364.184,,372.084,non noto,PTUA2022,
130,PO0130230U0003,32,2013-12-01,,no,,,364.734,,372.084,non noto,PTUA2022,
131,PO0130230U0003,32,2014-01-01,,no,,,363.734,,372.084,non noto,PTUA2022,
132,PO0130230U0003,32,2014-02-01,,no,,,365.134,,372.084,non noto,PTUA2022,
133,PO0130230U0003,32,2014-03-01,,no,,,365.024,,372.084,non noto,PTUA2022,
134,PO0130230U0003,32,2014-04-01,,no,,,363.934,,372.084,non noto,PTUA2022,
135,PO0130230U0003,32,2014-05-01,,no,,,363.724,,372.084,non noto,PTUA2022,
136,PO0130230U0003,32,2014-06-01,,no,,,363.724,,372.084,non noto,PTUA2022,
137,PO0130230U0003,32,2014-07-01,,no,,,363.054,,372.084,non noto,PTUA2022,
138,PO0130230U0003,32,2014-08-01,,no,,,365.184,,372.084,non noto,PTUA2022,
139,PO0130230U0003,32,2014-09-01,,no,,,364.434,,372.084,non noto,PTUA2022,
140,PO0130230U0003,32,2014-10-01,,no,,,363.534,,372.084,non noto,PTUA2022,
141,PO0130230U0003,32,2014-11-01,,no,,,363.324,,372.084,non noto,PTUA2022,
142,PO0130230U0003,32,2014-12-01,,no,,,365.324,,372.084,non noto,PTUA2022,
143,PO0130230U0003,32,2015-01-01,,no,,,364.194,,372.084,non noto,PTUA2022,
144,PO0130230U0003,32,2015-02-01,,no,,,363.924,,372.084,non noto,PTUA2022,
145,PO0130230U0003,32,2015-03-01,,no,,,363.884,,372.084,non noto,PTUA2022,
146,PO0130230U0003,32,2015-05-01,,no,,,363.184,,372.084,non noto,PTUA2022,
147,PO0130230U0003,32,2015-06-01,,no,,,363.244,,372.084,non noto,PTUA2022,
