DATA,0151461161,0151461288,0151461289,0151461312,0151461313,0151461353,0151461354,0151461374,0151461375,0151461376,0151461377,0151461378,0151461379,0151461380,0151461557,0151462108,0151462109,0151462111,0151462112,0151462113,0151462114,0151462115,0151462121,0151462122,0151462123,0151710197,0151750006,0151750008,0151750289,0151750291,0151920005,0152050007,0152050138,0152420041
2000-08-01,103.6,103.57,102.89,104.88,107.8,102.24,100.93,99.87,97.68,99.67,100.56,101.16,99.3,99.28,104.82,,,,,,,,,,,,,,,,,,,
2000-09-01,103.95,103.47,102.69,104.48,108.2,102.64,100.83,100.27,97.98,99.57,100.51,101.01,98.5,98.98,105.12,,,,,,,,,,,102.31,112.5,111.5,108.34,,95.81,108.34,,114.92
2000-10-01,103.95,103.77,102.99,104.98,108.2,103.04,102.03,100.17,98.08,99.57,100.51,100.91,98.3,98.98,105.52,,,,,,,,,,,102.01,112.5,111.7,108.44,,94.01,107.74,,115.22
2000-11-01,103.95,104.17,104.79,105.43,110.2,104.44,102.93,100.17,98.18,99.87,100.51,100.71,98.3,99.38,105.22,,,,,,,,,,,102.61,112.5,111.5,109.14,,94.81,108.34,,114.92
2000-12-01,104.05,104.27,103.29,105.98,109.6,103.84,102.03,100.77,98.48,100.32,100.91,98.21,98.6,99.68,105.22,,,,,,,,,,,102.46,112.7,111.3,108.64,,94.41,109.74,,114.52
2001-01-01,104.65,104.37,103.39,105.98,109.6,103.44,103.63,100.77,98.48,100.27,100.91,101.51,98.7,99.58,105.52,,,,,,,,,,,102.51,112.5,112.0,109.14,116.5,93.71,109.54,,115.22
2001-02-01,104.45,104.37,103.39,105.58,109.6,103.84,103.33,100.57,97.98,100.47,101.01,101.81,98.7,99.28,105.82,,,,,,,,,,,102.31,112.7,111.7,108.94,116.3,93.41,109.44,,115.12
2001-03-01,104.55,104.37,103.39,105.58,109.0,103.74,103.33,100.57,98.28,100.47,101.01,101.41,98.4,99.68,105.92,,,,,,,,,,,102.21,112.3,111.4,108.64,116.0,93.11,108.74,,114.82
2001-04-01,104.45,104.47,103.64,105.58,109.2,104.04,102.73,100.62,97.88,100.57,100.91,101.71,98.4,99.38,106.02,,,,,,,,,,,102.11,111.5,111.2,108.14,114.3,93.01,108.14,,114.32
2001-05-01,104.85,104.37,103.09,105.28,109.0,103.34,102.43,100.47,97.88,100.02,101.41,101.71,98.7,99.18,106.42,,,,,,,,,,,102.51,111.1,111.2,107.84,114.5,93.51,108.14,,114.12
2001-06-01,104.55,104.27,103.09,105.53,108.8,104.04,101.43,100.07,97.83,99.77,101.31,101.81,97.8,99.28,106.32,,,,,,,,,,,102.51,111.4,111.4,107.94,114.9,93.51,108.14,,114.52
