DATA,level
2004-11-01,105.00233333333334
2004-12-01,104.9483870967742
2005-01-01,105.00548387096775
2005-02-01,105.01571428571428
2005-03-01,104.84709677419356
2005-04-01,104.57133333333333
2005-05-01,104.44903225806452
2005-06-01,104.46000000000001
2005-07-01,104.46677419354837
2005-08-01,104.44548387096773
2005-09-01,104.596
2005-10-01,104.72967741935483
2005-11-01,104.653
2005-12-01,104.76387096774194
2006-01-01,104.8141935483871
2006-02-01,104.7682142857143
2006-03-01,104.74741935483871
2006-04-01,104.45766666666667
2006-05-01,104.24193548387096
2006-06-01,104.146
2006-07-01,104.08225806451613
2006-08-01,104.12387096774194
2006-09-01,104.11699999999999
2006-10-01,103.98806451612903
2006-11-01,103.83200000000001
2006-12-01,103.7290322580645
2007-01-01,103.86999999999999
2007-02-01,103.94678571428572
2007-03-01,103.89032258064516
2007-04-01,103.61733333333333
2007-05-01,103.56193548387097
2007-06-01,103.62233333333333
2007-07-01,103.86387096774195
2007-08-01,104.15709677419355
2007-09-01,104.47566666666667
2007-10-01,104.43258064516128
2007-11-01,104.29933333333334
2007-12-01,104.64903225806451
2008-01-01,104.93838709677419
2008-02-01,105.14357142857143
2008-03-01,105.04774193548387
2008-04-01,104.63633333333334
2008-05-01,104.66290322580646
2008-06-01,104.62033333333333
2008-07-01,104.44580645161291
2008-08-01,104.50193548387097
2008-09-01,104.61966666666667
2008-10-01,104.35709677419355
2008-11-01,104.36
2008-12-01,104.92322580645161
2009-01-01,105.17387096774193
2009-02-01,105.28035714285714
2009-03-01,105.13387096774194
2009-04-01,104.93133333333334
2009-05-01,105.13032258064516
2009-06-01,105.05066666666667
2009-07-01,105.24387096774193
2009-08-01,105.35870967741936
2009-09-01,105.32366666666667
2009-10-01,105.15903225806451
2009-11-01,105.11266666666667
2009-12-01,105.13419354838709
2010-01-01,105.41225806451612
2010-02-01,105.54535714285714
2010-03-01,105.69032258064516
2010-04-01,105.44699999999999
2010-05-01,105.4841935483871
2010-06-01,105.39666666666668
2010-07-01,105.27161290322582
2010-08-01,105.31806451612904
2010-09-01,105.35099999999998
2010-10-01,105.34290322580645
2010-11-01,105.66633333333333
2010-12-01,105.99709677419354
2011-01-01,105.94612903225806
2011-02-01,105.78928571428571
2011-03-01,105.8283870967742
2011-04-01,105.72399999999999
2011-05-01,105.47032258064516
2011-06-01,105.479
2011-07-01,105.42387096774193
2011-08-01,105.4141935483871
2011-09-01,105.38833333333334
2011-10-01,105.2816129032258
2011-11-01,105.27666666666667
2011-12-01,105.30774193548388
2012-01-01,105.29193548387097
2012-02-01,105.19321428571428
2012-03-01,105.00193548387097
2012-04-01,104.80966666666667
2012-05-01,105.0241935483871
2012-06-01,105.17566666666667
2012-07-01,105.17129032258065
2012-08-01,105.15806451612903
2012-09-01,105.25633333333333
2012-10-01,105.23645161290322
2012-11-01,105.29166666666667
2012-12-01,105.47709677419354
2013-01-01,105.55516129032259
2013-02-01,105.56071428571428
2013-03-01,105.5867741935484
2013-04-01,105.721
2013-05-01,105.84548387096774
2013-06-01,105.87233333333333
2013-07-01,105.61451612903227
2013-08-01,105.46096774193548
2013-09-01,105.41633333333334
2013-10-01,105.2658064516129
2013-11-01,105.21900000000001
2013-12-01,105.19709677419355
2014-01-01,105.54967741935484
2014-02-01,105.94464285714287
2014-03-01,105.94935483870968
2014-04-01,105.76566666666666
2014-05-01,105.61935483870967
2014-06-01,105.541
2014-07-01,105.60258064516128
2014-08-01,105.70967741935483
2014-09-01,105.71633333333332
2014-10-01,105.55709677419355
2014-11-01,105.72633333333333
2014-12-01,105.95
2015-01-01,105.93903225806451
2015-02-01,105.92892857142859
2015-03-01,105.8883870967742
2015-04-01,105.65766666666667
2015-05-01,105.64516129032258
2015-06-01,105.68533333333333
2015-07-01,105.71935483870968
2015-08-01,105.72290322580645
2015-09-01,105.7
2015-10-01,105.77516129032259
2015-11-01,105.752
2015-12-01,105.62387096774194
2016-01-01,105.58032258064516
2016-02-01,105.67821428571429
2016-03-01,105.79129032258065
2016-04-01,105.56966666666668
2016-05-01,105.4683870967742
2016-06-01,105.74499999999999
2016-07-01,105.76548387096774
2016-08-01,105.87677419354839
2016-09-01,105.75366666666667
2016-10-01,105.61999999999999
2016-11-01,105.59266666666666
2016-12-01,105.62129032258063
2017-01-01,105.51193548387097
2017-02-01,105.48249999999999
2017-03-01,105.32903225806452
2017-04-01,105.14666666666668
2017-05-01,105.20451612903226
2017-06-01,105.13000000000001
2017-07-01,105.16193548387096
2017-08-01,105.15677419354839
2017-09-01,105.23766666666667
2017-10-01,105.22096774193548
2017-11-01,105.27400000000002
2017-12-01,105.34419354838708
2018-01-01,105.42451612903227
2018-02-01,105.4275
2018-03-01,105.49258064516128
2018-04-01,105.67933333333333
2018-05-01,105.61258064516129
2018-06-01,105.471
2018-07-01,105.41161290322582
2018-08-01,105.46000000000001
2018-09-01,105.50533333333333
2018-10-01,105.38451612903226
2018-11-01,105.52366666666667
2018-12-01,105.48677419354838
2019-01-01,105.40677419354839
2019-02-01,105.36749999999999
2019-03-01,105.21193548387097
2019-04-01,105.05099999999999
2019-05-01,105.02935483870968
2019-06-01,105.046
2019-07-01,105.09387096774194
2019-08-01,105.11903225806452
2019-09-01,105.21700000000001
2019-10-01,105.26
2019-11-01,105.51266666666668
2019-12-01,105.83838709677418
2020-01-01,105.85677419354839
2020-02-01,105.78357142857143
2020-03-01,105.62129032258065
2020-04-01,105.39866666666667
2020-05-01,105.3141935483871
2020-06-01,105.474
2020-07-01,105.63516129032259
2020-08-01,105.69096774193548
2020-09-01,105.59766666666665
2020-10-01,105.53806451612903
2020-11-01,105.517
2020-12-01,105.60129032258064
2021-01-01,105.88225806451612
2021-02-01,105.94928571428571
2021-03-01,105.83774193548388
2021-04-01,105.576
2021-05-01,105.4625806451613
2021-06-01,105.48700000000001
2021-07-01,105.57967741935484
2021-08-01,105.64806451612904
2021-09-01,105.65433333333334
2021-10-01,105.68225806451613
2021-11-01,105.73066666666666
2021-12-01,105.80774193548388
2022-01-01,105.73870967741935
2022-02-01,105.62535714285715
2022-03-01,105.44709677419355
2022-04-01,105.211
2022-05-01,105.01935483870967
2022-06-01,105.01533333333333
2022-07-01,105.04774193548387
2022-08-01,104.95225806451613
2022-09-01,104.847
2022-10-01,104.734
2022-11-01,
2022-12-01,
