DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO0131590U0001,PO015041NR0075,PO015051NR0012,PO015062NR0071,PO015113NUP001,PO015146NU1534,PO015194NU0017,PO0970200U0002,PO0970200U0003,PO0970480U0001,PO0970610U0015,PO108033NR0142,PO108033NU0243
2006-10-01,,-1.11895838106256,-0.967421566101701,-1.351702239930662,-1.1503493803760079,-0.967421566101701,-0.9345892910734802,-1.4395314709384563,,,-0.967421566101701,-1.318010897303537,-0.5977601260424786,-1.9599639845400545,-1.1503493803760079,,,,,,,,0.899434907667234,,-1.8339146358159146,-1.9599639845400545,-0.7554150263604693,-1.8339146358159146,,
2006-11-01,,-1.11895838106256,-0.967421566101701,-1.351702239930662,-1.1503493803760079,-0.967421566101701,-0.9345892910734802,-1.4395314709384563,,,-1.009990169249582,-1.318010897303537,-0.45376219016987945,-1.9599639845400545,-1.1503493803760079,,,,,,,,1.4121875789061644,,-1.2815515655446004,-1.9599639845400545,-0.5977601260424786,-1.8339146358159146,,
2006-12-01,,-1.11895838106256,-1.318010897303537,-1.351702239930662,-1.1503493803760079,-1.009990169249582,-1.4395314709384563,-1.4395314709384563,,,-1.009990169249582,-1.318010897303537,-0.45376219016987945,-1.4395314709384563,-1.1503493803760079,,,,,,,,-0.7164975001779913,,-1.2815515655446004,-1.1503493803760079,-0.31863936396437514,-1.8339146358159146,,
2007-01-01,,-1.1503493803760079,-1.318010897303537,-1.382994127100638,-1.1797611176118612,-1.318010897303537,-1.4395314709384563,-1.4395314709384563,,,-1.318010897303537,-1.8627318674216515,-0.18911842627279252,-1.4395314709384563,-1.1503493803760079,,,,,,,,-1.1503493803760079,,-1.8339146358159146,-1.9599639845400545,-0.7554150263604693,-1.8627318674216515,,
2007-02-01,,-1.1503493803760079,-1.318010897303537,-1.382994127100638,-1.1797611176118612,-1.318010897303537,-1.1797611176118612,-1.4395314709384563,,,-1.318010897303537,-1.8627318674216515,-0.9345892910734802,-1.4395314709384563,-1.4395314709384563,,,,,,,,-1.4395314709384563,,-1.8627318674216515,-1.9599639845400545,-0.7554150263604693,-1.8627318674216515,,
2007-03-01,,-1.4395314709384563,-1.318010897303537,-1.382994127100638,-1.465233792685523,-1.318010897303537,-1.465233792685523,-1.4395314709384563,,,-1.318010897303537,-1.8627318674216515,-1.9599639845400545,-1.4395314709384563,-1.1503493803760079,,-1.2815515655446004,,,,,,-1.4395314709384563,,-1.8627318674216515,-1.4395314709384563,-0.7554150263604693,-1.8627318674216515,,
2007-04-01,,-1.4395314709384563,-1.318010897303537,-1.9145058250555573,-1.465233792685523,-1.318010897303537,-1.465233792685523,-1.4395314709384563,,,-1.318010897303537,-1.8627318674216515,-1.9599639845400545,-1.4395314709384563,-1.1503493803760079,,-1.2815515655446004,,,,,,-1.4395314709384563,,-1.8627318674216515,-1.4395314709384563,-1.1503493803760079,-1.318010897303537,,
2007-05-01,,-1.4121875789061642,-1.2815515655446004,-1.351702239930662,-1.4395314709384563,-1.2815515655446004,-1.9599639845400545,-1.4121875789061642,,,-1.2815515655446004,-1.8339146358159146,-1.9379315108528288,-1.9379315108528288,-1.4121875789061642,,-1.2418667918433202,,,,,,-1.9379315108528288,,-1.8339146358159146,-1.9379315108528288,-1.4121875789061642,-1.8339146358159146,,
2007-06-01,,-1.4121875789061642,-1.2815515655446004,-1.351702239930662,-1.4395314709384563,-1.2815515655446004,-1.9599639845400545,-1.4121875789061642,,,-1.2815515655446004,-1.2815515655446004,-1.9379315108528288,-1.9379315108528288,-1.11895838106256,,-1.2418667918433202,,,,,,-1.9379315108528288,,-1.8339146358159146,-1.9379315108528288,-1.4121875789061642,-1.8339146358159146,,
2007-07-01,,-1.4121875789061642,-1.8339146358159146,-1.0491313979639707,-1.4395314709384563,-1.2815515655446004,-1.9599639845400545,-1.4121875789061642,,,-1.2815515655446004,-1.8339146358159146,-1.4121875789061642,-1.4121875789061642,-1.11895838106256,,-1.2418667918433202,,,,,,-1.9379315108528288,,-1.2815515655446004,-1.9379315108528288,-1.11895838106256,-1.8339146358159146,,
