CODICE_SIF,CODICE_PP,PROVINCIA,COMUNE,DITTA_INDIRIZZO,DENOMINAZIONE,TIPO,X,Y,Z_BOCCA_POZZO,MOD_COORDINATE,FONTE_COORDINATE,PROFONDITA,FILTRI_DA,FILTRI_A,MODIFICAFILTRI_PROFONDITA,FILTRI,QUOTA_DTM,BASE_A_SLM,BASE_B_SLM,BASE_ISS_SLM,BASE_ISI_SLM,TIPO_FALDA,CLASSIFICAZIONE_POLITECNICO,CLASSIFICAZIONE_EUPOLIS,SCHEDA_STRATIGRAFICA,LIVELLI_FALDA,N_PRATICA_AGISCO,FONTE
0152060023,PO015206NR0023,MI,SENAGO,MONVIL  BETON - CAVA CONSORZIO SENAGO - P1 - MAPP. 29 - FG 27 - VIA BRODOLINI 1,,POZZO,1509960,5045690,,,,45,27,41.00,,,154.09,132.42513,95.48805,117.56438,95.91158,TRANSIZIONE,B,ISS,,,,progPLUMES
0152060037,PO0152060U0037,MI,SENAGO,Via B. Croce,,POZZO,1508145,5047145,,,,177.7,155,177.70,,,177.66,139.51768,109.85702,124.04398,ND,TRANSIZIONE,C,ISP,,,,progPLUMES
0152090005,209005,MI,SESTO SAN GIOVANNI,Via Cairoli/Mazzini,,POZZO,1519227,5042693,142.04,,,92.25,49.83,92.25,,,141.67,112.52121,44.68526,95.75919,55.31148,INDISTINTA,B,ISI+ISP,,,,progPLUMES
0152090008,209008,MI,SESTO SAN GIOVANNI,Via Rovani /centrale B3,,POZZO,1517618,5042501,141.48,,,66.5,46.5,66.50,,,144.06,109.08533,50.73497,97.97608,55.77437,TRANSIZIONE,B,ISI,,,,progPLUMES
0152090011,209011,MI,SESTO SAN GIOVANNI,Largo Levrino,,POZZO,1519206,5044019,147.26,,,71.3,43,67.20,,,149.27,123.43434,57.83428,98.69596,61.53759,INDISTINTA,B,ISS+ISI,,,,progPLUMES
0152090012,209012,MI,SESTO SAN GIOVANNI,Via L. da Vinci / Podgora,,POZZO,1517795,5043228,144.8,,,68.46,41.75,68.46,,,144.13,106.41959,54.37384,99.12641,59.82584,INDISTINTA,B,ISI,,,,progPLUMES
0152090013,209013,MI,SESTO SAN GIOVANNI,Via Cantore,,POZZO,1519516,5042126,138.35,,,92.94,65.99,92.94,,,138.72,111.48206,41.77874,94.15196,51.86894,INDISTINTA,B,ISI+ISP,,,,progPLUMES
0152090014,209014,MI,SESTO SAN GIOVANNI,Viale Marelli,,POZZO,1517917,5041639,136.82,,,82.16,57.47,82.16,,,137.06,102.70111,45.14946,96.22698,50.29692,TRANSIZIONE,B,ISI,,,,progPLUMES
0152090016,209016,MI,SESTO SAN GIOVANNI,Via Tevere,,POZZO,1520400,5044400,143.48,,,88.5,49,88.50,,,147.91,109.96111,63.69396,98.48017,66.04723,INDISTINTA,B,ISI+ISP,,,,progPLUMES
0152130026,PO015213NRA141,MI,SOLARO,POZZO N░26 - BIMEX - VIA VECCHIA PER SARONNO (PRIVATO),,PIEZOMETRO,1504213,5051967,,,,46,ND,ND,,,210.52,176.94292,106.43533,129.00279,ND,TRANSIZIONE,A+B,ISS,,,,progPLUMES
