CODICE,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE
PO018162NUP001,PV,TRAVACO' SICCOMARIO,01/03/2015,512843.2754,4999704.742,61.197,60.482,14,n.d.,n.d.,n.d.,POTABILE,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO019071NRA001,CR,PIADENA,01/01/2006,611002,4998742,26.5,26.14,10,1,1,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO0181140U0002,PV,PIEVE PORTO MORONE,01/01/2006,534746,4995245,55.383,55.383,24,1,12,18,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO019040NRA001,CR,DEROVERE,01/01/2006,597838,4994940,32.95,32.7,10,1,2,10,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO019089NUA001,CR,SAN DANIELE PO,01/05/2014,590532,4991152,33.6,33.6,25,1,13,25,DIDATTICO/SCIENTIFICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO019091NRA001,CR,SAN MARTINO DEL LAGO,01/01/2006,602954,4991122,29.18,28.83,12,1,2,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO0200030R0002,MN,BAGNOLO SAN VITO,01/10/2005,645227,4994417,17.258,17.258,52.3,n.d.,n.d.,n.d.,IGIENICO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,SI,
PO020021NRP001,MN,CURTATONE,01/03/2015,633518.3157,4994872.379,20.444,21.694,40,1,34,40,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO0200310R0062,MN,MARCARIA,01/06/2001,627739,4991877,21.824,21.824,8,n.d.,n.d.,n.d.,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO0980110U0001,LO,CASELLE LANDI,01/03/2015,562209.7293,4994623.069,45.233,45.493,62.3,2,32.5,61,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO098049NR0141,LO,SAN ROCCO AL PORTO,01/05/2014,550976.491,4994237.896,49.723,49.747,12,1,5.2,12,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO0180470U0001,PV,CERVESINA,01/01/2006,501288,4989873,71.908,71.718,81,2,42,77,POTABILE,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO019103NRA001,CR,STAGNO LOMBARDO,01/01/2006,583736,4989691,34.83,34.46,12,1,1,12,IRRIGUO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO019083NRA001,CR,RIVAROLO DEL RE ED UNITI,01/05/2014,616502,4988727,21.39,22,20,1,10,20,ANTINCENDIO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,si,
PO0200290R0002,MN,MAGNACAVALLO,01/03/2012,668106,4985295,13,13,15,1,13,15,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO0200370R0002,MN,MOTTEGGIANA,01/11/2012,634438,4988250,18,18,13,1,10,13,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,
PO0200400R0001,MN,PIEVE DI CORIANO,01/01/2006,664174,4988419,11.817,11.817,51,n.d.,n.d.,n.d.,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,HA PRESO NOME BORGO MANTOVANO
PO020061NR0001,MN,SERMIDE,01/01/2006,677797,4988196,10.65,10.65,10,1,9,10,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO020061NUP001,MN,SERMIDE,01/03/2015,680924,4986614,0,11.66,50,1,28,50,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,
PO0200650R0002,MN,SUZZARA,01/12/2005,636024,4984904,19.42,19.42,10,1,9,10,NON DEFINITO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO020023NUP001,MN,FELONICA,01/03/2015,685844,4983484,0,8.7,50,1,14,50,MONITORAGGIO,PIEZOMETRO,GWB ISS BPPO,IT03GWBISSBPPO,SI,
PO0200270R0053,MN,GONZAGA,01/01/2006,646253,4978449,17.841,17.841,19,n.d.,n.d.,n.d.,NON DEFINITO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
