comune,Codice_catastale,zona_omogenea,id_punto,cod_pozzo,tipo_punto,id_pratica,seq_captazione,uso,istat_comune,foglio,mappale,lng,lat,quota_pc,quota_rif,portata,profondita,tetto_primo_filtro,letto_ultimo_filtro,Location
MILANO,F205,Magentino Abbiatense,20696,151462809,PIE,n/a,,Piezometro,15146,n/d,n/d,1513985,5032075,,,0,15,,,POINT (9.17846239 45.44188)
LACCHIARELLA,E395,Magentino Abbiatense,23079,151150220,PIE,n/a,,Piezometro,15115,n/d,n/d,,,,,0,,,,POINT (0 0)
ARLUNO,A413,Magentino Abbiatense,17072,150100090,PIE,n/a,,Piezometro,15010,n/d,n/d,1493498,5039498,158,158,0,15,,,POINT (8.91640988 45.508802)
SETTALA,I696,Magentino Abbiatense,17797,152100216,PIE,n/a,,Piezometro,15210,n/d,n/d,1530665,5030497,96.5,96.3,0,9,,,POINT (9.39163631 45.427145)
MEDIGLIA,F084,Magentino Abbiatense,9660,151390003,POZ,MI0134081994,1,Potabile [Prev],15139,3,1,1527935,5030760,99,100.38,40,180,103,123,POINT (9.35675436 45.429626)
BAREGGIO,A652,Magentino Abbiatense,20222,150120085,PIE,n/a,,Piezometro,15012,n/d,n/d,1499847.99,5037395,144,,0,12,,,POINT (8.99769989 45.489904)
MILANO,F205,Magentino Abbiatense,15815,151461666,PIE,n/a,,Piezometro,15146,n/d,n/d,1517507,5032394,112,112,0,15,,,POINT (9.22350681 45.444672)
POZZUOLO MARTESANA,G965,Adda Martesana,27891,MI03MI01517800059,POZ,MI03292522013,2,Potabile [Prev],15178,11,147,1535338,5039766,,,1.3,80,,,POINT (9.45203536 45.510352)
MILANO,F205,Milano,30593,MI03MI01514601746,POZ,MI03318752018,6,Pompa di calore,15146,389,107,1514933,5035012,,,0,37,15,36,POINT (9.19067267 45.468296)
PESCHIERA BORROMEO,G488,Magentino Abbiatense,24698,151710331,PIE,n/a,,Piezometro,15171,n/d,n/d,1522945.89,5030075.57,0,100,0,8,,,POINT (9.29294493 45.423647)
